iter	Passed	Remaining
403	10221	2428
404	10249	2404
405	10270	2377
406	10298	2353
407	10325	2328
408	10354	2303
409	10375	2277
410	10404	2252
411	10424	2226
412	10451	2201
413	10472	2175
414	10499	2150
415	10521	2124
416	10548	2099
417	10569	2073
418	10597	2048
419	10620	2022
420	10650	1998
421	10673	1972
422	10704	1948
423	10728	1923
424	10758	1898
425	10780	1872
426	10809	1848
427	10831	1822
428	10859	1797
429	10880	1771
430	10908	1746
431	10930	1720
432	10959	1695
433	10979	1669
434	11010	1645
435	11040	1620
436	11073	1596
437	11105	1572
438	11137	1547
439	11160	1521
440	11188	1496
441	11224	1472
442	11257	1448
443	11278	1422
444	11307	1397
445	11327	1371
446	11355	1346
447	11377	1320
448	11404	1295
449	11425	1269
450	11452	1244
451	11472	1218
452	11502	1193
453	11524	1167
454	11553	1142
455	11575	1116
456	11603	1091
457	11624	1066
458	11652	1040
459	11673	1015
460	11700	989
461	11722	964
462	11751	939
463	11775	913
464	11804	888
465	11826	862
466	11853	837
467	11884	812
468	11944	789
469	11978	764
470	12012	739
471	12034	713
472	12064	688
473	12085	662
474	12115	637
475	12137	611
476	12167	586
477	12194	561
478	12226	536
479	12250	510
480	12280	485
481	12304	459
482	12334	434
483	12358	408
484	12389	383
485	12411	357
486	12440	332
487	12481	306
488	12535	281
489	12561	256
490	12591	230
491	12613	205
492	12640	179
493	12660	153
494	12687	128
495	12709	102
496	12737	76
497	12757	51
498	12786	25
499	12814	0
